0.00.071.179 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.072.912 I srv    load_model: loading model '/Users/wilsonxu/Models/ornith-256k/llamacpp/models/Ornith-1.5-35B-Q4_K_M.gguf'
0.01.586.530 I cmn          init: llama threadpool init, n_threads = 12
0.01.616.404 I common_speculative_init_result: creating MTP draft context against the target model '/Users/wilsonxu/Models/ornith-256k/llamacpp/models/Ornith-1.5-35B-Q4_K_M.gguf'
0.01.643.534 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.01.657.718 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.01.657.724 I srv  llama_server: model loaded
0.01.657.726 I srv  llama_server: listening on http://127.0.0.1:7872
0.49.519.305 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.49.519.348 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.50.116.992 I slot print_timing: id  0 | task 1 | prompt eval time =     390.55 ms /    27 tokens (   14.46 ms per token,    69.13 tokens per second)
0.50.116.996 I slot print_timing: id  0 | task 1 |        eval time =     207.05 ms /     8 tokens (   29.58 ms per token,    33.81 tokens per second)
0.50.116.997 I slot print_timing: id  0 | task 1 |       total time =     597.60 ms /    35 tokens
0.50.116.997 I slot print_timing: id  0 | task 1 |    graphs reused =          5
0.50.117.000 I slot print_timing: id  0 | task 1 | draft acceptance = 0.26667 (    4 accepted /    15 generated), mean len =  1.80
0.50.117.027 I slot      release: id  0 | task 1 | stop processing: n_tokens = 36, truncated = 0
1.14.081.147 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 324182571894
1.14.091.196 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
1.15.720.577 I slot print_timing: id  0 | task 9 | prompt eval time =     420.94 ms /    36 tokens (   11.69 ms per token,    85.52 tokens per second)
1.15.720.579 I slot print_timing: id  0 | task 9 |        eval time =    1208.40 ms /    78 tokens (   15.69 ms per token,    63.72 tokens per second)
1.15.720.580 I slot print_timing: id  0 | task 9 |       total time =    1629.34 ms /   114 tokens
1.15.720.580 I slot print_timing: id  0 | task 9 |    graphs reused =         40
1.15.720.582 I slot print_timing: id  0 | task 9 | draft acceptance = 0.37963 (   41 accepted /   108 generated), mean len =  2.14
1.15.720.598 I slot      release: id  0 | task 9 | stop processing: n_tokens = 113, truncated = 0
1.15.723.811 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.167 (> 0.100 thold), f_keep = 0.053
1.15.733.231 I slot launch_slot_: id  0 | task 48 | processing task, is_child = 0
1.17.155.481 I slot print_timing: id  0 | task 48 | prompt eval time =     134.20 ms /    36 tokens (    3.73 ms per token,   268.26 tokens per second)
1.17.155.485 I slot print_timing: id  0 | task 48 |        eval time =    1288.01 ms /    80 tokens (   16.30 ms per token,    61.34 tokens per second)
1.17.155.485 I slot print_timing: id  0 | task 48 |       total time =    1422.20 ms /   116 tokens
1.17.155.486 I slot print_timing: id  0 | task 48 |    graphs reused =         77
1.17.155.488 I slot print_timing: id  0 | task 48 | draft acceptance = 0.37719 (   43 accepted /   114 generated), mean len =  2.13
1.17.155.509 I slot      release: id  0 | task 48 | stop processing: n_tokens = 117, truncated = 0
1.17.158.345 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.167 (> 0.100 thold), f_keep = 0.051
1.17.168.729 I slot launch_slot_: id  0 | task 89 | processing task, is_child = 0
1.18.562.694 I slot print_timing: id  0 | task 89 | prompt eval time =     134.46 ms /    36 tokens (    3.74 ms per token,   267.73 tokens per second)
1.18.562.696 I slot print_timing: id  0 | task 89 |        eval time =    1259.46 ms /    81 tokens (   15.74 ms per token,    63.52 tokens per second)
1.18.562.697 I slot print_timing: id  0 | task 89 |       total time =    1393.92 ms /   117 tokens
1.18.562.697 I slot print_timing: id  0 | task 89 |    graphs reused =        114
1.18.562.699 I slot print_timing: id  0 | task 89 | draft acceptance = 0.36842 (   42 accepted /   114 generated), mean len =  2.11
1.18.562.712 I slot      release: id  0 | task 89 | stop processing: n_tokens = 116, truncated = 0
1.18.565.693 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.113 (> 0.100 thold), f_keep = 0.052
1.18.575.344 I slot launch_slot_: id  0 | task 130 | processing task, is_child = 0
1.21.861.208 I slot print_timing: id  0 | task 130 | n_gen =    259, tg =  85.74 t/s, tg_3s =  86.07 t/s
1.23.717.578 I slot print_timing: id  0 | task 130 | prompt eval time =     276.69 ms /    53 tokens (    5.22 ms per token,   191.55 tokens per second)
1.23.717.581 I slot print_timing: id  0 | task 130 |        eval time =    4865.50 ms /   417 tokens (   11.70 ms per token,    85.50 tokens per second)
1.23.717.581 I slot print_timing: id  0 | task 130 |       total time =    5142.19 ms /   470 tokens
1.23.717.582 I slot print_timing: id  0 | task 130 |    graphs reused =        250
1.23.717.584 I slot print_timing: id  0 | task 130 | draft acceptance = 0.67150 (  278 accepted /   414 generated), mean len =  3.01
1.23.717.601 I slot      release: id  0 | task 130 | stop processing: n_tokens = 469, truncated = 0
1.23.720.783 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.113 (> 0.100 thold), f_keep = 0.013
1.23.731.147 I slot launch_slot_: id  0 | task 271 | processing task, is_child = 0
1.26.899.570 I slot print_timing: id  0 | task 271 | n_gen =    254, tg =  84.25 t/s, tg_3s =  84.58 t/s
1.28.927.756 I slot print_timing: id  0 | task 271 | prompt eval time =     165.25 ms /    53 tokens (    3.12 ms per token,   320.72 tokens per second)
1.28.927.759 I slot print_timing: id  0 | task 271 |        eval time =    5031.31 ms /   430 tokens (   11.73 ms per token,    85.27 tokens per second)
1.28.927.759 I slot print_timing: id  0 | task 271 |       total time =    5196.56 ms /   483 tokens
1.28.927.759 I slot print_timing: id  0 | task 271 |    graphs reused =        384
1.28.927.762 I slot print_timing: id  0 | task 271 | draft acceptance = 0.72304 (  295 accepted /   408 generated), mean len =  3.17
1.28.927.777 I slot      release: id  0 | task 271 | stop processing: n_tokens = 484, truncated = 0
1.28.931.283 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.113 (> 0.100 thold), f_keep = 0.012
1.28.942.653 I slot launch_slot_: id  0 | task 410 | processing task, is_child = 0
1.32.125.142 I slot print_timing: id  0 | task 410 | n_gen =    224, tg =  73.98 t/s, tg_3s =  74.31 t/s
1.34.858.864 I slot print_timing: id  0 | task 410 | prompt eval time =     168.25 ms /    53 tokens (    3.17 ms per token,   315.01 tokens per second)
1.34.858.867 I slot print_timing: id  0 | task 410 |        eval time =    5747.90 ms /   463 tokens (   12.44 ms per token,    80.38 tokens per second)
1.34.858.868 I slot print_timing: id  0 | task 410 |       total time =    5916.15 ms /   516 tokens
1.34.858.869 I slot print_timing: id  0 | task 410 |    graphs reused =        534
1.34.858.872 I slot print_timing: id  0 | task 410 | draft acceptance = 0.67756 (  311 accepted /   459 generated), mean len =  3.03
1.34.858.889 I slot      release: id  0 | task 410 | stop processing: n_tokens = 517, truncated = 0
1.34.917.810 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 324227313756
1.34.929.589 I slot launch_slot_: id  0 | task 566 | processing task, is_child = 0
1.42.661.942 I slot print_timing: id  0 | task 566 | prompt processing, n_tokens =   8192, progress = 0.25, t =   6.58 s / 1245.30 tokens per second
1.47.384.347 I slot print_timing: id  0 | task 566 | prompt processing, n_tokens =  12288, progress = 0.38, t =  11.13 s / 1103.84 tokens per second
1.52.604.595 I slot print_timing: id  0 | task 566 | prompt processing, n_tokens =  16384, progress = 0.50, t =  16.21 s / 1010.73 tokens per second
1.58.924.419 I slot print_timing: id  0 | task 566 | prompt processing, n_tokens =  20480, progress = 0.63, t =  22.26 s / 920.18 tokens per second
2.05.873.381 I slot print_timing: id  0 | task 566 | prompt processing, n_tokens =  24576, progress = 0.76, t =  28.99 s / 847.89 tokens per second
2.13.899.718 I slot print_timing: id  0 | task 566 | prompt processing, n_tokens =  28672, progress = 0.88, t =  36.54 s / 784.65 tokens per second
2.20.868.567 I slot print_timing: id  0 | task 566 | prompt processing, n_tokens =  31419, progress = 0.97, t =  43.89 s / 715.78 tokens per second
2.23.698.365 I slot print_timing: id  0 | task 566 | prompt processing, n_tokens =  32443, progress = 1.00, t =  46.06 s / 704.35 tokens per second
2.25.427.377 I slot print_timing: id  0 | task 566 | prompt eval time =   49201.30 ms / 32447 tokens (    1.52 ms per token,   659.47 tokens per second)
2.25.427.381 I slot print_timing: id  0 | task 566 |        eval time =    1296.43 ms /    48 tokens (   27.58 ms per token,    36.25 tokens per second)
2.25.427.381 I slot print_timing: id  0 | task 566 |       total time =   50497.73 ms / 32495 tokens
2.25.427.382 I slot print_timing: id  0 | task 566 |    graphs reused =        553
2.25.427.385 I slot print_timing: id  0 | task 566 | draft acceptance = 0.45000 (   27 accepted /    60 generated), mean len =  2.35
2.25.427.873 I slot      release: id  0 | task 566 | stop processing: n_tokens = 32494, truncated = 0
2.25.492.445 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 324277882741
2.25.548.374 I slot launch_slot_: id  0 | task 597 | processing task, is_child = 0
2.29.862.858 I slot print_timing: id  0 | task 597 | prompt processing, n_tokens =   4096, progress = 0.13, t =   3.16 s / 1295.38 tokens per second
2.34.687.454 I slot print_timing: id  0 | task 597 | prompt processing, n_tokens =   8192, progress = 0.25, t =   7.74 s / 1057.90 tokens per second
2.40.379.925 I slot print_timing: id  0 | task 597 | prompt processing, n_tokens =  12288, progress = 0.38, t =  13.13 s / 936.03 tokens per second
2.47.294.678 I slot print_timing: id  0 | task 597 | prompt processing, n_tokens =  16384, progress = 0.50, t =  19.69 s / 831.97 tokens per second
2.56.310.749 I slot print_timing: id  0 | task 597 | prompt processing, n_tokens =  20480, progress = 0.63, t =  28.00 s / 731.51 tokens per second
3.08.195.103 I slot print_timing: id  0 | task 597 | prompt processing, n_tokens =  24576, progress = 0.76, t =  38.98 s / 630.40 tokens per second
3.24.586.772 I slot print_timing: id  0 | task 597 | prompt processing, n_tokens =  28672, progress = 0.88, t =  54.11 s / 529.93 tokens per second
3.39.538.372 I slot print_timing: id  0 | task 597 | prompt processing, n_tokens =  31419, progress = 0.97, t =  69.15 s / 454.34 tokens per second
3.46.442.126 I slot print_timing: id  0 | task 597 | prompt processing, n_tokens =  32443, progress = 1.00, t =  74.41 s / 436.00 tokens per second
3.49.037.412 I slot print_timing: id  0 | task 597 | prompt eval time =   81688.13 ms / 32447 tokens (    2.52 ms per token,   397.21 tokens per second)
